location,sub_area,property_type,company_name,township_name,total_township_area_in_acres,property_area_sqft,price_lakhs,has_clubhouse,has_school,has_hospital,has_mall,has_park,has_pool,has_gym,area_sqft,price_per_sqft,amenity_score,log_area,log_price,township_area
0,16,12,14,14,25.0,1103,120.0,1,0,0,0,1,1,1,1103.0,0.10879419754415756,4,7.00669522683704,4.795790545596741,25.0
0,12,1,14,23,,543,42.0,1,0,0,0,1,1,1,543.0,0.07734806615589675,4,6.298949246855942,3.7612001156935624,25.0
0,12,5,14,23,,801,57.0,1,0,0,0,1,1,1,963.0,0.059190031091183766,4,6.871091294610546,4.060443010546419,25.0
0,14,1,14,0,,320,36.0,1,0,0,0,1,1,1,421.5,0.08540925246640747,4,6.046189446797229,3.6109179126442243,25.0
0,14,5,14,0,,473,36.0,1,0,0,0,1,1,1,473.0,0.0761099364141439,4,6.161207321695077,3.6109179126442243,25.0
0,14,12,14,0,,581,36.0,1,0,0,0,1,1,1,581.0,0.06196213414464349,4,6.366470447731438,3.6109179126442243,25.0
0,0,5,14,25,3.5,790,80.0,1,0,0,0,1,1,1,790.0,0.10126582265662554,4,6.673297967767654,4.394449154672439,3.5
0,0,5,14,25,3.5,820,83.0,1,0,0,0,1,1,1,820.0,0.10121951207168352,4,6.710523109452428,4.430816798843313,3.5
0,0,12,14,25,3.5,989,101.0,1,0,0,0,1,1,1,989.0,0.10212335682292886,4,6.897704943128636,4.624972813284271,3.5
0,0,12,14,25,3.5,1003,103.0,1,0,0,0,1,1,1,1003.0,0.10269192412493328,4,6.911747300251674,4.6443908991413725,3.5
0,0,12,14,25,3.5,1182,128.0,1,0,0,0,1,1,1,1182.0,0.10829103205728338,4,7.075808863978387,4.859812404361672,3.5
0,0,17,14,25,3.5,1579,163.0,1,0,0,0,1,1,1,1579.0,0.10322989227154535,4,7.365180126021013,5.099866427824199,3.5
0,25,19,21,46,,163,54.0,0,0,0,0,1,0,1,421.5,0.1281138786996112,2,6.046189446797229,4.007333185232471,25.0
0,30,0,21,27,,491,39.0,0,0,0,0,1,0,1,491.0,0.07942973507244454,2,6.198478716492308,3.6888794541139363,25.0
0,30,2,21,27,,659,51.0,0,0,0,0,1,0,1,659.0,0.07738998470805769,2,6.492239835020471,3.9512437185814275,25.0
0,30,5,21,27,,732,60.0,0,0,0,0,1,0,1,732.0,0.08196721300277703,2,6.597145701886651,4.110873864173311,25.0
0,30,6,21,27,,809,66.0,0,0,0,0,0,0,1,809.0,0.08158220014637553,1,6.697034247666484,4.204692619390966,25.0
0,7,1,19,20,,460,45.5,0,0,0,0,1,1,1,460.0,0.09891304326323251,3,6.133398042996649,3.8394523125933104,25.0
0,7,2,19,20,,734,72.5,0,0,0,0,1,1,1,734.0,0.09877384182728359,3,6.5998704992128365,4.297285406218791,25.0
0,7,2,19,20,,753,73.5,0,0,0,0,1,1,1,753.0,0.09760956162336047,3,6.625392368007956,4.310799125385514,25.0
0,7,2,21,27,,675,62.0,0,0,0,0,1,0,0,675.0,0.09185185171577503,1,6.516193076042964,4.143134726391533,25.0
0,7,7,21,27,,917,84.0,0,0,0,0,1,0,0,917.0,0.09160305333522023,1,6.822197390620491,4.442651256490317,25.0
0,15,5,28,16,,670,54.14,1,0,0,0,1,1,0,670.0,0.08080597002864781,3,6.508769136971682,4.0098754055956505,25.0
0,15,5,28,16,,740,58.32,1,0,0,0,1,1,0,740.0,0.07881081070430972,3,6.608000625296087,4.082946517269732,25.0
